model_id,feature_set,task,split,folds,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,majority_accuracy_mean,above_majority_mean,selected_layer_mean,selected_layers
jais-13b,full_prompt_final,number,lemma-heldout,5,0.9419012983481748,0.011864381552025436,0.7248547076293937,0.11948848254656513,0.8414610382253643,0.1004402601228106,13.2,"10,13,13,15,15"
jais-13b,full_prompt_final,number,random,5,0.9770165182516484,0.0035338870124054667,0.8018175348496179,0.05969474692110165,0.8414556001178257,0.1355609181338228,13.4,"11,13,13,15,15"
jais-13b,full_prompt_final,number,root-heldout,5,0.930411256882605,0.040723653138511964,0.7105378045410357,0.07699990110151186,0.8414483493077742,0.08896290757483061,13.8,"9,11,12,15,22"
jais-13b,full_prompt_final,pos,lemma-heldout,5,0.8966158681348497,0.024214029209140977,0.8793014108560092,0.027081428676829347,0.6290024193366043,0.2676134487982454,14.0,"12,13,13,15,17"
jais-13b,full_prompt_final,pos,random,5,0.9534155606303841,0.005038183426690135,0.945945590511298,0.005832396324738453,0.6290150812851877,0.3244004793451964,14.8,"13,13,15,15,18"
jais-13b,full_prompt_final,pos,root-heldout,5,0.8670748637709996,0.06006190063405042,0.8430615138498118,0.05535193432053623,0.6290290998711195,0.23804576389988014,13.8,"9,13,15,16,16"
jais-13b,metadata_free_prompt_final,gender,lemma-heldout,5,0.942965128135409,0.013167627334592771,0.9380739400031809,0.014204532036335388,0.6260711938911925,0.31689393424421636,14.0,"11,13,15,15,16"
jais-13b,metadata_free_prompt_final,gender,random,5,0.971268665171187,0.004323849517128153,0.9692838324033243,0.00456618910839796,0.6260906804432058,0.34517798472798134,15.6,"13,16,16,16,17"
jais-13b,metadata_free_prompt_final,gender,root-heldout,5,0.9367906102009835,0.016137310024135938,0.9316409501461989,0.015449987845449206,0.6260895475041353,0.31070106269684816,15.0,"13,14,14,16,18"
jais-13b,metadata_free_prompt_final,number,lemma-heldout,5,0.9746783585978746,0.008437185904910303,0.8271685037238837,0.07369175279949147,0.8414610382253642,0.13321732037251038,15.2,"12,14,16,17,17"
jais-13b,metadata_free_prompt_final,number,random,5,0.9836140756350125,0.003955779208888113,0.8925207165611629,0.038038947650872956,0.8414556001178257,0.14215847551718672,13.8,"10,12,15,15,17"
jais-13b,metadata_free_prompt_final,number,root-heldout,5,0.9665903065733124,0.01250461433938699,0.7774161892137463,0.07447124106661254,0.8414483493077741,0.1251419572655382,15.4,"10,13,15,17,22"
jais-13b,metadata_free_prompt_final,pos,lemma-heldout,5,0.908739457797273,0.025633829941394796,0.8892181964945814,0.0291661905216467,0.6290024193366043,0.27973703846066883,14.8,"12,14,15,16,17"
jais-13b,metadata_free_prompt_final,pos,random,5,0.9559676215886223,0.00753530268435517,0.9478182512831099,0.009252717724504918,0.6290150812851877,0.3269525403034345,14.0,"10,12,13,15,20"
jais-13b,metadata_free_prompt_final,pos,root-heldout,5,0.8970495398738327,0.03022970040414925,0.8739815555807169,0.034194716219518154,0.6290290998711194,0.2680204400027133,13.2,"11,13,14,14,14"
jais-13b,target_final_subtoken,gender,lemma-heldout,5,0.9161554845580404,0.02128134675828455,0.9104326076500315,0.020874121567352973,0.6260711938911925,0.29008429066684793,21.6,"16,18,18,19,37"
jais-13b,target_final_subtoken,gender,random,5,0.9659511023497156,0.00586096183465691,0.9637330241409693,0.006216259116398789,0.6260906804432058,0.33986042190650984,3.6,"0,0,0,0,18"
jais-13b,target_final_subtoken,gender,root-heldout,5,0.902749869712007,0.049857469076059,0.8962570153949733,0.04951549019507078,0.6260895475041353,0.2766603222078717,15.6,"0,18,18,21,21"
jais-13b,target_final_subtoken,number,lemma-heldout,5,0.9540321301520404,0.013279359490367725,0.8055231625999824,0.08073588566581322,0.8414610382253642,0.1125710919266762,23.4,"18,20,20,23,36"
jais-13b,target_final_subtoken,number,random,5,0.980421906509868,0.007387582768506244,0.898334527800311,0.04096196051058507,0.8414556001178257,0.13896630639204227,7.6,"0,0,0,1,37"
jais-13b,target_final_subtoken,number,root-heldout,5,0.9493544513176083,0.014242115751965413,0.8008420098533342,0.04221035363445826,0.8414483493077742,0.10790610200983389,9.2,"0,0,0,19,27"
jais-13b,target_final_subtoken,pos,lemma-heldout,5,0.8342881045515183,0.007464225367920363,0.8135498793006507,0.010300417905302887,0.6290024193366042,0.205285685214914,16.0,"0,19,20,20,21"
jais-13b,target_final_subtoken,pos,random,5,0.9366142853912768,0.016044458821459207,0.9250407853558533,0.019829924148586732,0.6290150812851877,0.3075992041060891,25.4,"20,20,21,27,39"
jais-13b,target_final_subtoken,pos,root-heldout,5,0.8342919483573384,0.01966611846643511,0.8054031520098281,0.022581994299761463,0.6290290998711194,0.2052628484862188,24.6,"19,20,22,23,39"
jais-13b,target_mean_span,gender,lemma-heldout,5,0.9338107538576574,0.015955366683671066,0.9287234774032991,0.015616331733828674,0.6260711938911925,0.307739559966465,4.2,"1,2,4,5,9"
jais-13b,target_mean_span,gender,random,5,0.9774418235787279,0.004004239656433336,0.9759404833732607,0.0042797716215670694,0.6260906804432058,0.3513511431355221,9.0,"1,3,6,17,18"
jais-13b,target_mean_span,gender,root-heldout,5,0.8984990823193527,0.04031445927011273,0.8898928559600421,0.0483890363823359,0.6260895475041353,0.2724095348152176,10.4,"2,6,7,17,20"
jais-13b,target_mean_span,number,lemma-heldout,5,0.9497747717127772,0.013113327831989523,0.8065633570208692,0.09933981120007022,0.8414610382253642,0.10831373348741305,16.0,"2,3,19,22,34"
jais-13b,target_mean_span,number,random,5,0.9819108150363673,0.004613603809945091,0.904659997368381,0.039376465370281395,0.8414556001178257,0.1404552149185417,5.2,"1,1,3,6,15"
jais-13b,target_mean_span,number,root-heldout,5,0.9399775678064035,0.023142597498352235,0.784555511549561,0.07216669912991111,0.8414483493077742,0.09852921849862913,10.6,"0,0,6,18,29"
jais-13b,target_mean_span,pos,lemma-heldout,5,0.8519454179573562,0.01013737204791915,0.8336043837663208,0.01660372742222829,0.6290024193366044,0.22294299862075206,9.0,"1,2,5,17,20"
jais-13b,target_mean_span,pos,random,5,0.9544800687362922,0.009391316161120353,0.9471815473107142,0.010910564349833791,0.6290150812851877,0.3254649874511045,8.0,"2,3,8,9,18"
jais-13b,target_mean_span,pos,root-heldout,5,0.8383329188052546,0.03044499227156673,0.8090226064120681,0.04551100450594662,0.6290290998711194,0.20930381893413524,20.4,"6,11,19,29,37"
llama-3.1-8b,full_prompt_final,gender,lemma-heldout,5,0.9467999003013619,0.009762110030601677,0.9423569336201298,0.01155317502519295,0.6260711938911926,0.3207287064101692,13.2,"4,7,17,18,20"
llama-3.1-8b,full_prompt_final,gender,random,5,0.9797827022862711,0.0035616208281363565,0.9784234113288652,0.003794214419558492,0.6260906804432058,0.35369202184306525,14.2,"3,12,16,19,21"
llama-3.1-8b,full_prompt_final,gender,root-heldout,5,0.932539143044887,0.029539312528436123,0.928305938238547,0.02833827480211684,0.6260895475041353,0.30644959554075185,10.2,"6,7,7,12,19"
llama-3.1-8b,full_prompt_final,number,lemma-heldout,5,0.9619037908141299,0.010809053159546039,0.8972267381720634,0.05787104530407155,0.8414610382253642,0.12044275258876577,16.4,"7,16,19,19,21"
llama-3.1-8b,full_prompt_final,number,random,5,0.9908499308907167,0.003596993489072041,0.9496570948334995,0.028367370608057364,0.8414556001178257,0.14939433077289105,18.2,"15,15,20,20,21"
llama-3.1-8b,full_prompt_final,number,root-heldout,5,0.938927786463644,0.04618931258624471,0.8613704372375077,0.07956426472841485,0.8414483493077742,0.09747943715586975,13.0,"9,12,12,14,18"
llama-3.1-8b,full_prompt_final,pos,lemma-heldout,5,0.858970538358921,0.023563066115544307,0.8399829884710976,0.02445631220879676,0.6290024193366042,0.2299681190223167,14.4,"9,10,16,16,21"
llama-3.1-8b,full_prompt_final,pos,random,5,0.9555396025052569,0.006407129843502284,0.9492587197718325,0.007313157303389618,0.6290150812851877,0.3265245212200692,18.4,"10,13,20,24,25"
llama-3.1-8b,full_prompt_final,pos,root-heldout,5,0.8440830262057114,0.043999111288483356,0.8177875445960385,0.05288021352452405,0.6290290998711194,0.21505392633459194,14.4,"7,11,11,18,25"
llama-3.1-8b,metadata_free_prompt_final,gender,lemma-heldout,5,0.8789162304851246,0.024305524950545887,0.8690638728569191,0.02663544155424228,0.6260711938911925,0.2528450365939319,17.2,"8,17,20,20,21"
llama-3.1-8b,metadata_free_prompt_final,gender,random,5,0.9621201821766026,0.01060652959270204,0.9595682796721731,0.011294782638152784,0.6260906804432058,0.3360295017333967,17.0,"9,17,18,20,21"
llama-3.1-8b,metadata_free_prompt_final,gender,root-heldout,5,0.882948360637165,0.01651416207756649,0.8734697882966236,0.020584591749721482,0.6260895475041353,0.2568588131330297,17.4,"7,19,20,20,21"
llama-3.1-8b,metadata_free_prompt_final,number,lemma-heldout,5,0.9506199442593978,0.019909114921151803,0.855494057400902,0.04870005302426173,0.8414610382253642,0.10915890603403353,13.0,"8,9,13,14,21"
llama-3.1-8b,metadata_free_prompt_final,number,random,5,0.9836138490471983,0.006224239465598649,0.9225950441597697,0.038704604263356944,0.8414556001178257,0.14215824892937262,16.2,"8,16,17,19,21"
llama-3.1-8b,metadata_free_prompt_final,number,root-heldout,5,0.9593512790882107,0.008663078086957095,0.8828960263143892,0.04024272033321657,0.8414483493077742,0.11790292978043637,20.0,"18,18,21,21,22"
llama-3.1-8b,metadata_free_prompt_final,pos,lemma-heldout,5,0.8117437312049202,0.022553658537845436,0.7800366478648136,0.029194240132310055,0.6290024193366043,0.18274131186831574,15.0,"8,12,17,19,19"
llama-3.1-8b,metadata_free_prompt_final,pos,random,5,0.9425685667126416,0.010247953546250478,0.9325069504034185,0.012917161408364089,0.6290150812851877,0.31355348542745387,17.8,"12,18,19,20,20"
llama-3.1-8b,metadata_free_prompt_final,pos,root-heldout,5,0.8125984127343026,0.022710806341456866,0.7690417488495365,0.025239024241377413,0.6290290998711195,0.18356931286318312,15.0,"9,11,11,21,23"
llama-3.1-8b,target_final_subtoken,gender,lemma-heldout,5,0.8835891509754605,0.016690785321307595,0.875495902292491,0.013684762319721315,0.6260711938911925,0.257517957084268,10.0,"4,5,6,9,26"
llama-3.1-8b,target_final_subtoken,gender,random,5,0.9665880406951715,0.006006434874925023,0.9644257336911831,0.006362175034908899,0.6260906804432058,0.34049736025196553,15.8,"4,7,18,20,30"
llama-3.1-8b,target_final_subtoken,gender,root-heldout,5,0.9008286316361905,0.023180906700272917,0.8940199347925966,0.0210449338616527,0.6260895475041353,0.2747390841320554,8.2,"4,4,6,10,17"
