model_id,feature_set,task,split,fold,real_accuracy,shuffled_accuracy,shuffled_macro_f1,shuffled_majority_accuracy,shuffled_selected_layer
llama-3.2-1b,target_final_subtoken,number,random,2,0.951063829787234,0.7085106382978723,0.3231069029808837,0.8414893617021276,10
llama-3.2-1b,target_final_subtoken,number,random,3,0.9478723404255319,0.7287234042553191,0.3358488730153279,0.8414893617021276,7
llama-3.2-1b,target_final_subtoken,number,random,4,0.9552715654952076,0.7422790202342918,0.3319851764017385,0.8413205537806177,9
llama-3.2-1b,target_final_subtoken,number,root-heldout,0,0.8202127659574469,0.6542553191489362,0.32023298339087813,0.8638297872340426,12
llama-3.2-1b,target_final_subtoken,number,root-heldout,1,0.8425531914893617,0.5914893617021276,0.2962508249127949,0.8872340425531915,5
llama-3.2-1b,target_final_subtoken,number,root-heldout,2,0.8361702127659575,0.6180851063829788,0.3244047619047619,0.824468085106383,9
llama-3.2-1b,target_final_subtoken,number,root-heldout,3,0.8319148936170213,0.6574468085106383,0.32609456885639587,0.824468085106383,8
llama-3.2-1b,target_final_subtoken,number,root-heldout,4,0.7955271565495208,0.5623003194888179,0.324611367567508,0.8072417465388712,6
llama-3.2-1b,target_final_subtoken,pos,lemma-heldout,0,0.7258235919234857,0.4070138150903294,0.29822404371584693,0.6886291179596175,4
llama-3.2-1b,target_final_subtoken,pos,lemma-heldout,1,0.6138297872340426,0.3606382978723404,0.30581847900377207,0.5989361702127659,7
llama-3.2-1b,target_final_subtoken,pos,lemma-heldout,2,0.698936170212766,0.39787234042553193,0.329985434611278,0.6382978723404256,3
llama-3.2-1b,target_final_subtoken,pos,lemma-heldout,3,0.7244680851063829,0.3893617021276596,0.32315789329561745,0.6351063829787233,11
llama-3.2-1b,target_final_subtoken,pos,lemma-heldout,4,0.5893617021276596,0.39148936170212767,0.32791771770683925,0.5840425531914893,4
llama-3.2-1b,target_final_subtoken,pos,random,0,0.8756641870350691,0.4580233793836344,0.31078382562823,0.6291179596174282,1
llama-3.2-1b,target_final_subtoken,pos,random,1,0.8914893617021277,0.46170212765957447,0.3209613412714188,0.6297872340425532,15
llama-3.2-1b,target_final_subtoken,pos,random,2,0.8787234042553191,0.4808510638297872,0.33961606180976345,0.6287234042553191,12
llama-3.2-1b,target_final_subtoken,pos,random,3,0.8936170212765957,0.48936170212765956,0.3695945177814752,0.6287234042553191,0
llama-3.2-1b,target_final_subtoken,pos,random,4,0.9010638297872341,0.4946808510638298,0.339608625570883,0.6287234042553191,14
llama-3.2-1b,target_final_subtoken,pos,root-heldout,0,0.71413390010627,0.3985122210414453,0.32931075741114046,0.563230605738576,9
llama-3.2-1b,target_final_subtoken,pos,root-heldout,1,0.6531914893617021,0.39787234042553193,0.31113925587963887,0.6574468085106383,10
llama-3.2-1b,target_final_subtoken,pos,root-heldout,2,0.675531914893617,0.34893617021276596,0.29590917303112424,0.6170212765957447,8
llama-3.2-1b,target_final_subtoken,pos,root-heldout,3,0.6957446808510638,0.3829787234042553,0.29511696572698204,0.6712765957446809,15
llama-3.2-1b,target_final_subtoken,pos,root-heldout,4,0.6638297872340425,0.3861702127659574,0.3010140908370871,0.6361702127659574,4
llama-3.2-1b,target_mean_span,gender,lemma-heldout,0,0.7372340425531915,0.5276595744680851,0.49975788550141675,0.6542553191489362,13
llama-3.2-1b,target_mean_span,gender,lemma-heldout,1,0.7659574468085106,0.5382978723404256,0.5135550213675213,0.6808510638297872,14
llama-3.2-1b,target_mean_span,gender,lemma-heldout,2,0.7180851063829787,0.5095744680851064,0.48799020737259124,0.6425531914893617,11
llama-3.2-1b,target_mean_span,gender,lemma-heldout,3,0.75,0.5042553191489362,0.490582450656135,0.6180851063829788,7
llama-3.2-1b,target_mean_span,gender,lemma-heldout,4,0.7060702875399361,0.5069222577209798,0.5038408207750116,0.5346112886048988,4
llama-3.2-1b,target_mean_span,gender,random,0,0.9287234042553192,0.5468085106382978,0.5174119280384104,0.625531914893617,1
llama-3.2-1b,target_mean_span,gender,random,1,0.9117021276595745,0.551063829787234,0.5150990631539831,0.625531914893617,7
llama-3.2-1b,target_mean_span,gender,random,2,0.9212765957446809,0.5191489361702127,0.4825478017293874,0.6265957446808511,7
llama-3.2-1b,target_mean_span,gender,random,3,0.9063829787234042,0.5553191489361702,0.5259421555805435,0.6265957446808511,9
llama-3.2-1b,target_mean_span,gender,random,4,0.9148029818956337,0.531416400425985,0.49473653315592775,0.6261980830670927,13
llama-3.2-1b,target_mean_span,gender,root-heldout,0,0.7106382978723405,0.49361702127659574,0.4824626744826246,0.6021276595744681,6
llama-3.2-1b,target_mean_span,gender,root-heldout,1,0.6978723404255319,0.5031914893617021,0.49395426475351917,0.6468085106382979,6
llama-3.2-1b,target_mean_span,gender,root-heldout,2,0.7351063829787234,0.5255319148936171,0.5184492605133908,0.5468085106382978,4
llama-3.2-1b,target_mean_span,gender,root-heldout,3,0.6712765957446809,0.5425531914893617,0.5071308724832215,0.7138297872340426,11
llama-3.2-1b,target_mean_span,gender,root-heldout,4,0.7050053248136315,0.49733759318423854,0.48172020880498434,0.6208732694355698,9
llama-3.2-1b,target_mean_span,number,lemma-heldout,0,0.8074468085106383,0.5595744680851064,0.3165973917441886,0.8106382978723404,6
llama-3.2-1b,target_mean_span,number,lemma-heldout,1,0.8063829787234043,0.6223404255319149,0.3271278606714387,0.8436170212765958,4
llama-3.2-1b,target_mean_span,number,lemma-heldout,2,0.8095744680851064,0.6031914893617021,0.3248136516705134,0.8287234042553191,9
llama-3.2-1b,target_mean_span,number,lemma-heldout,3,0.7978723404255319,0.573404255319149,0.3122470515927777,0.8574468085106383,6
llama-3.2-1b,target_mean_span,number,lemma-heldout,4,0.8338658146964856,0.6666666666666666,0.3088834370693441,0.8668796592119276,11
llama-3.2-1b,target_mean_span,number,random,0,0.9425531914893617,0.7180851063829787,0.3327874671384308,0.8414893617021276,12
llama-3.2-1b,target_mean_span,number,random,1,0.95,0.7382978723404255,0.34242993293951757,0.8414893617021276,9
llama-3.2-1b,target_mean_span,number,random,2,0.9382978723404255,0.7180851063829787,0.3738449197257971,0.8414893617021276,11
llama-3.2-1b,target_mean_span,number,random,3,0.9468085106382979,0.7159574468085106,0.3084696852413703,0.8414893617021276,11
llama-3.2-1b,target_mean_span,number,random,4,0.9552715654952076,0.7199148029818956,0.31189655107432657,0.8413205537806177,8
llama-3.2-1b,target_mean_span,number,root-heldout,0,0.7893617021276595,0.5936170212765958,0.30636092415374455,0.8638297872340426,5
llama-3.2-1b,target_mean_span,number,root-heldout,1,0.7319148936170212,0.573404255319149,0.3097508728019092,0.8872340425531915,1
llama-3.2-1b,target_mean_span,number,root-heldout,2,0.8351063829787234,0.526595744680851,0.30060811790253505,0.824468085106383,2
llama-3.2-1b,target_mean_span,number,root-heldout,3,0.7968085106382978,0.5957446808510638,0.3072780594649523,0.824468085106383,9
llama-3.2-1b,target_mean_span,number,root-heldout,4,0.8019169329073482,0.5910543130990416,0.3089934095228692,0.8072417465388712,14
llama-3.2-1b,target_mean_span,pos,lemma-heldout,0,0.6981934112646121,0.3783209351753454,0.30586533915436703,0.6886291179596175,0
llama-3.2-1b,target_mean_span,pos,lemma-heldout,1,0.5627659574468085,0.3617021276595745,0.3105205799199446,0.5989361702127659,11
llama-3.2-1b,target_mean_span,pos,lemma-heldout,2,0.7191489361702128,0.3851063829787234,0.2871239424331572,0.6382978723404256,6
llama-3.2-1b,target_mean_span,pos,lemma-heldout,3,0.6457446808510638,0.35212765957446807,0.3061343957553242,0.6351063829787233,1
llama-3.2-1b,target_mean_span,pos,lemma-heldout,4,0.5904255319148937,0.41382978723404257,0.33127587545771525,0.5840425531914893,14
llama-3.2-1b,target_mean_span,pos,random,0,0.8884165781083954,0.4718384697130712,0.3278628773752225,0.6291179596174282,6
llama-3.2-1b,target_mean_span,pos,random,1,0.902127659574468,0.5010638297872341,0.3351129281943397,0.6297872340425532,13
llama-3.2-1b,target_mean_span,pos,random,2,0.8914893617021277,0.4627659574468085,0.31297700536158907,0.6287234042553191,10
llama-3.2-1b,target_mean_span,pos,random,3,0.902127659574468,0.46595744680851064,0.3287725677152334,0.6287234042553191,3
llama-3.2-1b,target_mean_span,pos,random,4,0.8978723404255319,0.498936170212766,0.35196964722678875,0.6287234042553191,15
llama-3.2-1b,target_mean_span,pos,root-heldout,0,0.6546227417640808,0.35494155154091395,0.3136186504145009,0.563230605738576,14
llama-3.2-1b,target_mean_span,pos,root-heldout,1,0.7042553191489361,0.3861702127659574,0.3336993978730023,0.6574468085106383,2
llama-3.2-1b,target_mean_span,pos,root-heldout,2,0.6297872340425532,0.35106382978723405,0.2986975640961979,0.6170212765957447,5
llama-3.2-1b,target_mean_span,pos,root-heldout,3,0.6319148936170212,0.39680851063829786,0.31903573550632375,0.6712765957446809,14
llama-3.2-1b,target_mean_span,pos,root-heldout,4,0.6117021276595744,0.4021276595744681,0.31467124834945165,0.6361702127659574,8
qwen3-0.6b,full_prompt_final,gender,lemma-heldout,0,0.9297872340425531,0.5223404255319148,0.48439666493601685,0.6542553191489362,8
qwen3-0.6b,full_prompt_final,gender,lemma-heldout,1,0.9287234042553192,0.5170212765957447,0.49553408892104156,0.6808510638297872,6
qwen3-0.6b,full_prompt_final,gender,lemma-heldout,2,0.9457446808510638,0.5829787234042553,0.5410887932408737,0.6425531914893617,7
qwen3-0.6b,full_prompt_final,gender,lemma-heldout,3,0.9468085106382979,0.5202127659574468,0.4858535130028343,0.6180851063829788,27
qwen3-0.6b,full_prompt_final,gender,lemma-heldout,4,0.9254526091586794,0.5101171458998935,0.5043831466862493,0.5346112886048988,0
qwen3-0.6b,full_prompt_final,gender,random,0,0.9776595744680852,0.5329787234042553,0.4796210335700297,0.625531914893617,0
qwen3-0.6b,full_prompt_final,gender,random,1,0.9787234042553191,0.5595744680851064,0.5139485621790132,0.625531914893617,25
qwen3-0.6b,full_prompt_final,gender,random,2,0.9797872340425532,0.5659574468085107,0.5236959761549926,0.6265957446808511,4
qwen3-0.6b,full_prompt_final,gender,random,3,0.9797872340425532,0.5297872340425532,0.4756662073003902,0.6265957446808511,5
qwen3-0.6b,full_prompt_final,gender,random,4,0.9659211927582535,0.54419595314164,0.500059710404538,0.6261980830670927,25
qwen3-0.6b,full_prompt_final,gender,root-heldout,0,0.8180851063829787,0.4957446808510638,0.4839687017914472,0.6021276595744681,21
qwen3-0.6b,full_prompt_final,gender,root-heldout,1,0.9531914893617022,0.5255319148936171,0.4849023963514124,0.6468085106382979,5
qwen3-0.6b,full_prompt_final,gender,root-heldout,2,0.9223404255319149,0.5170212765957447,0.5037004991370929,0.5468085106382978,14
qwen3-0.6b,full_prompt_final,gender,root-heldout,3,0.902127659574468,0.5659574468085107,0.5145095219528991,0.7138297872340426,10
qwen3-0.6b,full_prompt_final,gender,root-heldout,4,0.9116080937167199,0.5250266240681576,0.5002696768650661,0.6208732694355698,17
qwen3-0.6b,full_prompt_final,number,lemma-heldout,0,0.9563829787234043,0.7276595744680852,0.3224777832343306,0.8106382978723404,5
qwen3-0.6b,full_prompt_final,number,lemma-heldout,1,0.926595744680851,0.7287234042553191,0.3358266304626261,0.8436170212765958,5
qwen3-0.6b,full_prompt_final,number,lemma-heldout,2,0.9425531914893617,0.7308510638297873,0.3235138973422601,0.8287234042553191,7
qwen3-0.6b,full_prompt_final,number,lemma-heldout,3,0.9425531914893617,0.801063829787234,0.3646053402756007,0.8574468085106383,5
qwen3-0.6b,full_prompt_final,number,lemma-heldout,4,0.9414270500532481,0.8242811501597445,0.3214098972922502,0.8668796592119276,7
qwen3-0.6b,full_prompt_final,number,random,0,0.9776595744680852,0.8074468085106383,0.3194275737640135,0.8414893617021276,3
qwen3-0.6b,full_prompt_final,number,random,1,0.975531914893617,0.8159574468085107,0.3220389738088853,0.8414893617021276,0
qwen3-0.6b,full_prompt_final,number,random,2,0.9819148936170212,0.8063829787234043,0.31568559229573123,0.8414893617021276,0
qwen3-0.6b,full_prompt_final,number,random,3,0.9829787234042553,0.7957446808510639,0.3187902164486412,0.8414893617021276,8
qwen3-0.6b,full_prompt_final,number,random,4,0.9787007454739084,0.8157614483493077,0.321998782867064,0.8413205537806177,0
