model_id,feature_set,task,split,fold,label_mode,layer,dev_accuracy,dev_macro_f1
allam-7b,full_prompt_final,gender,lemma-heldout,4,real,5,0.9601063829787234,0.955325671105056
allam-7b,full_prompt_final,gender,lemma-heldout,4,real,6,0.9601063829787234,0.9557480463233217
allam-7b,full_prompt_final,gender,lemma-heldout,4,real,7,0.9361702127659575,0.9289314516129032
allam-7b,full_prompt_final,gender,lemma-heldout,4,real,8,0.9401595744680851,0.9333100785734978
allam-7b,full_prompt_final,gender,lemma-heldout,4,real,9,0.9348404255319149,0.926960623990327
allam-7b,full_prompt_final,gender,lemma-heldout,4,real,10,0.9375,0.9295227270461321
allam-7b,full_prompt_final,gender,lemma-heldout,4,real,11,0.9547872340425532,0.9488607270865335
allam-7b,full_prompt_final,gender,lemma-heldout,4,real,12,0.973404255319149,0.9703317946897069
allam-7b,full_prompt_final,gender,lemma-heldout,4,real,13,0.949468085106383,0.9430756972111554
allam-7b,full_prompt_final,gender,lemma-heldout,4,real,14,0.9335106382978723,0.9255427851750933
allam-7b,full_prompt_final,gender,lemma-heldout,4,real,15,0.949468085106383,0.9437373991935484
allam-7b,full_prompt_final,gender,lemma-heldout,4,real,16,0.9428191489361702,0.9368613844180239
allam-7b,full_prompt_final,gender,lemma-heldout,4,real,17,0.9507978723404256,0.9448478181151448
allam-7b,full_prompt_final,gender,lemma-heldout,4,real,18,0.9587765957446809,0.9537003751715482
allam-7b,full_prompt_final,gender,lemma-heldout,4,real,19,0.961436170212766,0.9569399058159165
allam-7b,full_prompt_final,gender,lemma-heldout,4,real,20,0.9481382978723404,0.9417520848932379
allam-7b,full_prompt_final,gender,lemma-heldout,4,real,21,0.9348404255319149,0.927102807436115
allam-7b,full_prompt_final,gender,lemma-heldout,4,real,22,0.9321808510638298,0.9245608134024937
allam-7b,full_prompt_final,gender,lemma-heldout,4,real,23,0.9321808510638298,0.9235246612628242
allam-7b,full_prompt_final,gender,lemma-heldout,4,real,24,0.9321808510638298,0.9242736274693704
allam-7b,full_prompt_final,gender,lemma-heldout,4,real,25,0.9308510638297872,0.9225644965820969
allam-7b,full_prompt_final,gender,lemma-heldout,4,real,26,0.8976063829787234,0.8893862026938999
allam-7b,full_prompt_final,gender,lemma-heldout,4,real,27,0.9308510638297872,0.9225644965820969
allam-7b,full_prompt_final,gender,lemma-heldout,4,real,28,0.9148936170212766,0.9061107599628563
allam-7b,full_prompt_final,gender,lemma-heldout,4,real,29,0.8856382978723404,0.8763602437923941
allam-7b,full_prompt_final,gender,lemma-heldout,4,real,30,0.851063829787234,0.8404449597247796
allam-7b,full_prompt_final,gender,lemma-heldout,4,real,31,0.9055851063829787,0.8955586201500347
allam-7b,full_prompt_final,gender,random,0,real,0,0.9720744680851063,0.9700613673719711
allam-7b,full_prompt_final,gender,random,0,real,1,0.9787234042553191,0.977272555553037
allam-7b,full_prompt_final,gender,random,0,real,2,0.9800531914893617,0.9787082635720663
allam-7b,full_prompt_final,gender,random,0,real,3,0.9800531914893617,0.9786776756398115
allam-7b,full_prompt_final,gender,random,0,real,4,0.976063829787234,0.9744680851063829
allam-7b,full_prompt_final,gender,random,0,real,5,0.9800531914893617,0.9786466763210949
allam-7b,full_prompt_final,gender,random,0,real,6,0.988031914893617,0.9872066053838869
allam-7b,full_prompt_final,gender,random,0,real,7,0.9773936170212766,0.9756543002039599
allam-7b,full_prompt_final,gender,random,0,real,8,0.9720744680851063,0.9700168028935152
allam-7b,full_prompt_final,gender,random,0,real,9,0.9800531914893617,0.9786152624085509
allam-7b,full_prompt_final,gender,random,0,real,10,0.9813829787234043,0.9800847457627119
allam-7b,full_prompt_final,gender,random,0,real,11,0.9867021276595744,0.985774818401937
allam-7b,full_prompt_final,gender,random,0,real,12,0.9867021276595744,0.9857953472206481
allam-7b,full_prompt_final,gender,random,0,real,13,0.9813829787234043,0.9800847457627119
allam-7b,full_prompt_final,gender,random,0,real,14,0.9813829787234043,0.9801134861089074
allam-7b,full_prompt_final,gender,random,0,real,15,0.9813829787234043,0.9800847457627119
allam-7b,full_prompt_final,gender,random,0,real,16,0.9773936170212766,0.975799566497241
allam-7b,full_prompt_final,gender,random,0,real,17,0.9787234042553191,0.9772064228178257
allam-7b,full_prompt_final,gender,random,0,real,18,0.9813829787234043,0.9800556199655974
allam-7b,full_prompt_final,gender,random,0,real,19,0.973404255319149,0.9714658652824576
allam-7b,full_prompt_final,gender,random,0,real,20,0.9813829787234043,0.9800556199655974
allam-7b,full_prompt_final,gender,random,0,real,21,0.9800531914893617,0.9785185001799647
allam-7b,full_prompt_final,gender,random,0,real,22,0.9813829787234043,0.9800556199655974
allam-7b,full_prompt_final,gender,random,0,real,23,0.9773936170212766,0.9757639640630243
allam-7b,full_prompt_final,gender,random,0,real,24,0.9840425531914894,0.9828795191694746
allam-7b,full_prompt_final,gender,random,0,real,25,0.9867021276595744,0.9857115713471404
allam-7b,full_prompt_final,gender,random,0,real,26,0.9827127659574468,0.9813827001559694
allam-7b,full_prompt_final,gender,random,0,real,27,0.9747340425531915,0.9728723454750852
allam-7b,full_prompt_final,gender,random,0,real,28,0.9694148936170213,0.9671612603119453
allam-7b,full_prompt_final,gender,random,0,real,29,0.9707446808510638,0.9687046004842614
allam-7b,full_prompt_final,gender,random,0,real,30,0.9654255319148937,0.9630679027736851
allam-7b,full_prompt_final,gender,random,0,real,31,0.9680851063829787,0.9658595641646489
allam-7b,full_prompt_final,gender,random,1,real,0,0.961436170212766,0.9589518878028305
allam-7b,full_prompt_final,gender,random,1,real,1,0.976063829787234,0.9743572256700539
allam-7b,full_prompt_final,gender,random,1,real,2,0.9773936170212766,0.9758693653816752
allam-7b,full_prompt_final,gender,random,1,real,3,0.9800531914893617,0.9785511776886613
allam-7b,full_prompt_final,gender,random,1,real,4,0.9827127659574468,0.9815206522211699
allam-7b,full_prompt_final,gender,random,1,real,5,0.9853723404255319,0.984317859099604
allam-7b,full_prompt_final,gender,random,1,real,6,0.9853723404255319,0.9842945158013652
allam-7b,full_prompt_final,gender,random,1,real,7,0.9813829787234043,0.9800556199655974
allam-7b,full_prompt_final,gender,random,1,real,8,0.9813829787234043,0.9800556199655974
allam-7b,full_prompt_final,gender,random,1,real,9,0.9827127659574468,0.9814937861449489
allam-7b,full_prompt_final,gender,random,1,real,10,0.9840425531914894,0.9829048171133692
allam-7b,full_prompt_final,gender,random,1,real,11,0.9787234042553191,0.9772064228178257
allam-7b,full_prompt_final,gender,random,1,real,12,0.9827127659574468,0.9815991221185102
allam-7b,full_prompt_final,gender,random,1,real,13,0.9813829787234043,0.9801134861089074
allam-7b,full_prompt_final,gender,random,1,real,14,0.9813829787234043,0.9801134861089074
allam-7b,full_prompt_final,gender,random,1,real,15,0.9813829787234043,0.9801134861089074
allam-7b,full_prompt_final,gender,random,1,real,16,0.9800531914893617,0.9786152624085509
